,Answers,words
125,"Создание неперехватываемых, незасекаемых гиперзвуковых баллистических ракет с термоядерными боеголовками первого удара для гарантированного уничтожения крупнейших городов и военных баз США. А после этого создание термоядерного ректора для достижения мировой гегемонии","['разработка', 'технология', 'атомный', 'так']"
126,Выход в тройку лидеров по генерации электроэнергии в мире с помощью российских реакторов независимо в какой стране они будут установлены.,"['разработка', 'технология', 'атомный', 'так']"
127,"- Новые продукты для российского и международных рынков А еще приведение внешнего и внутреннего вида АЭС к современному виду. Налаживание инфраструктуры для персонала на территории станции(дороги, парковки, питание, диваны в вестибюлях, информационные экраны, снабжение водой, кофе-поинты и прочее).Стыдно показывать атомную станцию на фотографиях.","['разработка', 'технология', 'атомный', 'так']"
128,"ядерная медицина, ведутся работы по созданию первого федерального центра ядерной медицины.","['разработка', 'технология', 'атомный', 'так']"
129,"Стремление к безопасной и экологичной выработке электроэнергии. Научные и инновационные методы к утилизации и к строительству АЭС. Исследования и нововведения, способные изменить пренебрежительное отношение к атомной промышленности по всему миру.","['разработка', 'технология', 'атомный', 'так']"
130,"Цель: стать первыми в мире по проектированию, строительству и эксплуатации атомной энергии во всех сферах (энергетика, строительство, оборонная промышленность, медицина и всё-всё-всё)","['разработка', 'технология', 'атомный', 'так']"
131,"Дешевая, экологичная и конкурентноспособная электроэнергия для населения и бизнеса Российской Федерации","['разработка', 'технология', 'атомный', 'так']"
132,"Сделать мир ярче (свети электроэнергия в самых отдаленных местах России, выработку электроэнергии экологичной посредством неукоснительного соблюдения ТБ, экономии ресурсов Земли)","['разработка', 'технология', 'атомный', 'так']"
133,Популяризация науки. Создание эффективной научной инфраструктуры в ядерной промышленности.,"['разработка', 'технология', 'атомный', 'так']"
134,Стать признанным мировым лидером в обеспечении ядерной энергией и внедрение инновационных технологий во все сферы деятельности корпорации.,"['разработка', 'технология', 'атомный', 'так']"
135,Внедрение инноваций в информационную сферу жизни компании,"['разработка', 'технология', 'атомный', 'так']"
136,"Привлечение людей к здоровому образу жизни. Освещение глобальных проблем (например пластиковые отходы, лечение рака и т.д.), а также оказание помощи в борьбе с этими проблемами.","['разработка', 'технология', 'атомный', 'так']"
137,"Научные разработки и достижения, которые изменят к лучшему нашу жизнь - от производства относительно дешевой электроэнергии на АЭС до новейших разработок в различных областях, напрямую не связанных с атомной отраслью (пример: ООО ""Русатом – Аддитивные технологии"", чья продукция может применяться и за пределами отрасли).","['разработка', 'технология', 'атомный', 'так']"
138,1. Создание новой технологической платформы/технологического уклада использования атомной энергии в XXI в,"['росатом', 'развитие', 'рынок', 'новый']"
139,"Команда, которая готова работать сообща и коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно быть выше исполнения сроков.","['росатом', 'развитие', 'рынок', 'новый']"
140,"""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ""","['росатом', 'развитие', 'рынок', 'новый']"
141,"Ценность сотрудника, отдавшего большую часть жизни отрасли, после ухода на пенсию. Чувство спины на старости.","['росатом', 'развитие', 'рынок', 'новый']"
142,"Становление мировым лидером в области строительства АЭС. Становление бренда ROSATOM на глобальной арене гарантией качества, безопасности, выполнения точно в срок (ответственности).","['росатом', 'развитие', 'рынок', 'новый']"
143,"Росатом делает идеологию будущего, а правильную жизнь- сейчас","['росатом', 'развитие', 'рынок', 'новый']"
144,Я и так вдохновлен!,"['росатом', 'развитие', 'рынок', 'новый']"
145,"Осознавая то какой вклад вносит Росатом в обеспечение безопасности нашей страны, уже сейчас осознаю важность нашей работы.","['росатом', 'развитие', 'рынок', 'новый']"
146,"Работая в Росатоме (дивизион ЯОК) уже сейчас понимаю, как важен наш общий труд на благо сохранения мира.","['росатом', 'развитие', 'рынок', 'новый']"
147,Уровень жизни работников ГК будет существенно выше. Зарплата будет достойной. В таких условиях возможно отдавать работе все.,"['росатом', 'развитие', 'рынок', 'новый']"
148,Завоевание новых рынков.,"['росатом', 'развитие', 'рынок', 'новый']"
149,Служить нашей родине.,"['росатом', 'развитие', 'рынок', 'новый']"
150,если эта цель принесет пользу людям,"['росатом', 'развитие', 'рынок', 'новый']"
151,Глобализация атомных технологий с целью повышения уровня жизни и снижения себестоимости энергии,"['росатом', 'развитие', 'рынок', 'новый']"
152,Чтобы каждый работающий в отрасли чувствовал стабильность и уверенность в завтрашнем дне своем и отрасли.,"['росатом', 'развитие', 'рынок', 'новый']"
