,Answers,Number of Words,answers_without_stopwords,cleaned_answers
25,"Росатом-это правильно. То, что я делаю-это правильно. Для моей совести( это честно и справедливо), для моей семьи( это надежный источник благосостоянияи в юности, и в старости), для моего города( это комфорт и и перспектива), для моей страны ( это процветание и защита ). В Росатома делают то, что правильно. То, чем гордятся сейчас наши дети и будут гордиться внуки. В Росатоме делают идеологию будущего, а достойную жизнь-сейчас.",67,"Росатом-это правильно. То, делаю-это правильно. Для моей совести( это честно справедливо), моей семьи( это надежный источник благосостоянияи юности, старости), моего города( это комфорт перспектива), моей страны ( это процветание защита ). В Росатома делают то, правильно. То, гордятся наши дети будут гордиться внуки. В Росатоме делают идеологию будущего, достойную жизнь-сейчас.",росатом это правильно  то  делаю это правильно  для моей совести  это честно справедливо   моей семьи  это надежный источник благосостоянияи юности  старости   моего города  это комфорт перспектива   моей страны   это процветание защита    в росатома делают то  правильно  то  гордятся наши дети будут гордиться внуки  в росатоме делают идеологию будущего  достойную жизнь сейчас 
26,"Работа в проекте ""Умный город""",5,"Работа проекте ""Умный город""",работа проекте  умный город 
27,"Работая в Росатоме (дивизион ЯОК) уже сейчас понимаю, как важен наш общий труд на благо сохранения мира.",17,"Работая Росатоме (дивизион ЯОК) понимаю, важен наш общий труд благо сохранения мира.",работая росатоме  дивизион яок  понимаю  важен наш общий труд благо сохранения мира 
28,Мирная жизнь.,2,Мирная жизнь.,мирная жизнь 
29,Уровень жизни работников ГК будет существенно выше. Зарплата будет достойной. В таких условиях возможно отдавать работе все.,17,Уровень жизни работников ГК существенно выше. Зарплата достойной. В таких условиях возможно отдавать работе все.,уровень жизни работников гк существенно выше  зарплата достойной  в таких условиях возможно отдавать работе все 
30,Использование атомной энергии во благо каждого человека. Эта энергия сильна и надежна. Она дает комфорт и безопасность каждому жителю России.,20,Использование атомной энергии благо каждого человека. Эта энергия сильна надежна. Она дает комфорт безопасность каждому жителю России.,использование атомной энергии благо каждого человека  эта энергия сильна надежна  она дает комфорт безопасность каждому жителю россии 
31,Формирование единой команды,3,Формирование единой команды,формирование единой команды
32,Завоевание новых рынков.,3,Завоевание новых рынков.,завоевание новых рынков 
33,Выход на крупные рынки с продуктами информационных технологий,8,Выход крупные рынки продуктами информационных технологий,выход крупные рынки продуктами информационных технологий
34,Быть лидером в эффективности!,4,Быть лидером эффективности!,быть лидером эффективности 
35,Служить нашей родине.,3,Служить нашей родине.,служить нашей родине 
36,"... Пусть с успехом трудиться всегда будет охота! Пусть в сознании вашем живет мысль одна, Что с вашим трудом сильна наша страна.",22,"... Пусть успехом трудиться охота! Пусть сознании вашем живет мысль одна, Что вашим трудом сильна наша страна.",    пусть успехом трудиться охота  пусть сознании вашем живет мысль одна  что вашим трудом сильна наша страна 
37,Снижение себестоимости,2,Снижение себестоимости,снижение себестоимости
38,"Производственная система России в ее буквальной реализации, как это происходит сейчас",11,"Производственная система России буквальной реализации, это происходит",производственная система россии буквальной реализации  это происходит
39,Повышение и удержание доли присутствия на международных рынках,8,Повышение удержание доли присутствия международных рынках,повышение удержание доли присутствия международных рынках
40,если эта цель принесет пользу людям,6,эта цель принесет пользу людям,эта цель принесет пользу людям
41,Глобализация атомных технологий с целью повышения уровня жизни и снижения себестоимости энергии,12,Глобализация атомных технологий целью повышения уровня жизни снижения себестоимости энергии,глобализация атомных технологий целью повышения уровня жизни снижения себестоимости энергии
42,"При наличии термина Интересы госкорпорации превыше интересов дивизиона, интересы дивизиона превыше интересов предприятия. Вряд ли цель Росатома может вдохновить работника предприятия.",21,"При наличии термина Интересы госкорпорации превыше интересов дивизиона, интересы дивизиона превыше интересов предприятия. Вряд цель Росатома вдохновить работника предприятия.",при наличии термина интересы госкорпорации превыше интересов дивизиона  интересы дивизиона превыше интересов предприятия  вряд цель росатома вдохновить работника предприятия 
43,Чтобы каждый работающий в отрасли чувствовал стабильность и уверенность в завтрашнем дне своем и отрасли.,15,Чтобы каждый работающий отрасли чувствовал стабильность уверенность завтрашнем дне своем отрасли.,чтобы каждый работающий отрасли чувствовал стабильность уверенность завтрашнем дне своем отрасли 
44,Переход на унифицированный проект АЭС,5,Переход унифицированный проект АЭС,переход унифицированный проект аэс
45,"Создание и активное применение во всем мире новых востребованных технологий для того, чтобы делать мир более эффективным и безопасным.",19,"Создание активное применение всем мире новых востребованных технологий того, делать мир эффективным безопасным.",создание активное применение всем мире новых востребованных технологий того  делать мир эффективным безопасным 
46,Цифровизация,1,Цифровизация,цифровизация
47,"Государственные приоритеты. Влияние и интерес государства, поддерживающие возможности, проекты и программы развития государственного концерна. Непосредственное участие в этих проекта и программах и, конечно же, развитие и прирост социальных аспектов, в качестве достойного вознаграждения за труд.",35,"Государственные приоритеты. Влияние интерес государства, поддерживающие возможности, проекты программы развития государственного концерна. Непосредственное участие этих проекта программах и, же, развитие прирост социальных аспектов, качестве достойного вознаграждения труд.",государственные приоритеты  влияние интерес государства  поддерживающие возможности  проекты программы развития государственного концерна  непосредственное участие этих проекта программах и  же  развитие прирост социальных аспектов  качестве достойного вознаграждения труд 
48,"компания №1 в мире по ""Зеленой"" энергии + Корпорация ТАЛАНТОВ",10,"компания №1 мире ""Зеленой"" энергии + Корпорация ТАЛАНТОВ",компания № мире  зеленой  энергии   корпорация талантов
49,обеспечение надежности ядерного щита как основы национальной безопасности,8,обеспечение надежности ядерного щита основы национальной безопасности,обеспечение надежности ядерного щита основы национальной безопасности
50,Космическая программа,2,Космическая программа,космическая программа
51,"Мой ежедневный труд наполнен смыслом с соответствии со стратегической целью ГК ""Росатом"" ""Снижение себестоимости продукции и сроков протекания процессов"".",19,"Мой ежедневный труд наполнен смыслом соответствии стратегической целью ГК ""Росатом"" ""Снижение себестоимости продукции сроков протекания процессов"".",мой ежедневный труд наполнен смыслом соответствии стратегической целью гк  росатом   снижение себестоимости продукции сроков протекания процессов  
52,"Исходя из моего опыта работы в других государственных корпорациях, Росатом отличается от них в лучшую сторону по компетенциям и личностному уровню работников, корпоративной культуре, стилю работы, сложностью решаемых задач. В любом обществе должны быть лидеры процессов изменений. Росатом (его работники) могли бы стать таковыми. Мешает ""закрытость"" отрасли, связанная с ее спецификой, акцентированной на безопасность. Возможным вариантом продвижения изменений может быть модель, используемая в мире крупными корпорациями (в РФ ее активно применяют Ростех, Роснано, а в Росатоме - это единичные случаи), а именно создание значительного количества SPV-компаний различных направлений с не контролирующим участием Росатома. То есть, цель, которая могла бы вдохновить: перенос компетенций, отраслевой культуры в различные технологичные направления промышленности для трансформации общества и экономики страны.",115,"Исходя моего опыта работы других государственных корпорациях, Росатом отличается лучшую сторону компетенциям личностному уровню работников, корпоративной культуре, стилю работы, сложностью решаемых задач. В любом обществе должны лидеры процессов изменений. Росатом (его работники) могли стать таковыми. Мешает ""закрытость"" отрасли, связанная спецификой, акцентированной безопасность. Возможным вариантом продвижения изменений модель, используемая мире крупными корпорациями (в РФ активно применяют Ростех, Роснано, Росатоме - это единичные случаи), именно создание значительного количества SPV-компаний различных направлений контролирующим участием Росатома. То есть, цель, которая могла вдохновить: перенос компетенций, отраслевой культуры различные технологичные направления промышленности трансформации общества экономики страны.",исходя моего опыта работы других государственных корпорациях  росатом отличается лучшую сторону компетенциям личностному уровню работников  корпоративной культуре  стилю работы  сложностью решаемых задач  в любом обществе должны лидеры процессов изменений  росатом  его работники  могли стать таковыми  мешает  закрытость  отрасли  связанная спецификой  акцентированной безопасность  возможным вариантом продвижения изменений модель  используемая мире крупными корпорациями  в рф активно применяют ростех  роснано  росатоме   это единичные случаи   именно создание значительного количества spv компаний различных направлений контролирующим участием росатома  то есть  цель  которая могла вдохновить  перенос компетенций  отраслевой культуры различные технологичные направления промышленности трансформации общества экономики страны 
53,Нет ответа.,2,Нет ответа.,нет ответа 
54,"Из существующих целей: - Повышение доли на международных рынках; - Новые продукты для российского и международных рынков. Предложение по новой ""Большой Цели"": - повышение доверия и конкурентной привлекательности российских экспортеров в лице предприятий ГК Росатом на международных рынках за счет высочайшего качества предлагаемых товаров и услуг, надежности, безупречного сервиса и активного участия в процессах устойчивого развития.",56,"Из существующих целей: - Повышение доли международных рынках; - Новые продукты российского международных рынков. Предложение новой ""Большой Цели"": - повышение доверия конкурентной привлекательности российских экспортеров лице предприятий ГК Росатом международных рынках счет высочайшего качества предлагаемых товаров услуг, надежности, безупречного сервиса активного участия процессах устойчивого развития.",из существующих целей    повышение доли международных рынках    новые продукты российского международных рынков  предложение новой  большой цели     повышение доверия конкурентной привлекательности российских экспортеров лице предприятий гк росатом международных рынках счет высочайшего качества предлагаемых товаров услуг  надежности  безупречного сервиса активного участия процессах устойчивого развития 
55,Рост благосостояния страны.,3,Рост благосостояния страны.,рост благосостояния страны 
56,"Способствовать экономическому росту, социальной стабильности и содействовать процветанию и прогрессу.",10,"Способствовать экономическому росту, социальной стабильности содействовать процветанию прогрессу.",способствовать экономическому росту  социальной стабильности содействовать процветанию прогрессу 
57,Новые продукты для Российского и международного рынков,7,Новые продукты Российского международного рынков,новые продукты российского международного рынков
58,"Обеспечение глобального лидерства Росатома в области цифровизации и области ""чистой энергии"" в течении следующих 5 лет.",16,"Обеспечение глобального лидерства Росатома области цифровизации области ""чистой энергии"" течении следующих 5 лет.",обеспечение глобального лидерства росатома области цифровизации области  чистой энергии  течении следующих  лет 
59,"Добится решения системных технологических прорывов по всем направления научно-производственной деятельности ГК. Приумножение оборонного, научного и производственного потенциала РФ.",18,"Добится решения системных технологических прорывов всем направления научно-производственной деятельности ГК. Приумножение оборонного, научного производственного потенциала РФ.",добится решения системных технологических прорывов всем направления научно производственной деятельности гк  приумножение оборонного  научного производственного потенциала рф 
60,"Продвижение на международном рынке, развитие новых продуктов",7,"Продвижение международном рынке, развитие новых продуктов",продвижение международном рынке  развитие новых продуктов
61,Развитие научной деятельности на предприятиях энергетического дивизиона (АЭС)создание глобальных проектов между предприятиями,12,Развитие научной деятельности предприятиях энергетического дивизиона (АЭС)создание глобальных проектов предприятиями,развитие научной деятельности предприятиях энергетического дивизиона  аэс создание глобальных проектов предприятиями
62,Большая зарплата,2,Большая зарплата,большая зарплата
63,"Внедрение инновационных технологий, освоение новых направлений в газовой, нефтяной и других отраслях.",12,"Внедрение инновационных технологий, освоение новых направлений газовой, нефтяной других отраслях.",внедрение инновационных технологий  освоение новых направлений газовой  нефтяной других отраслях 
64,Лидерство и высокая конкурентоспособность на мировом рынке,7,Лидерство высокая конкурентоспособность мировом рынке,лидерство высокая конкурентоспособность мировом рынке
65,Участие в разработке новых продуктов для российского и мирового рынка,10,Участие разработке новых продуктов российского мирового рынка,участие разработке новых продуктов российского мирового рынка
66,"Вдохновение и смысл есть всегда, независимо от целей, а иначе зачем ходить на работу... .",15,"Вдохновение смысл всегда, независимо целей, иначе ходить работу... .",вдохновение смысл всегда  независимо целей  иначе ходить работу     
67,"Разработка новых продуктов, цифровизация отрасли.",5,"Разработка новых продуктов, цифровизация отрасли.",разработка новых продуктов  цифровизация отрасли 
68,"Освоение зарубежных рынков, повышение рейтинга Страны в рамках успешной реализации проектов за рубежом.",13,"Освоение зарубежных рынков, повышение рейтинга Страны рамках успешной реализации проектов рубежом.",освоение зарубежных рынков  повышение рейтинга страны рамках успешной реализации проектов рубежом 
69,Достижение грузопотока по СМП до 100 млн тн в ближайшие годы.,11,Достижение грузопотока СМП 100 млн тн ближайшие годы.,достижение грузопотока смп  млн тн ближайшие годы 
70,"Обеспечение безопасности миру в эксплуатации атомной отрасли. Разработка технологий в медицине, помогающих излечить серьезные заболевания.",15,"Обеспечение безопасности миру эксплуатации атомной отрасли. Разработка технологий медицине, помогающих излечить серьезные заболевания.",обеспечение безопасности миру эксплуатации атомной отрасли  разработка технологий медицине  помогающих излечить серьезные заболевания 
71,космические и летательные аппараты с ядерными реакторами,7,космические летательные аппараты ядерными реакторами,космические летательные аппараты ядерными реакторами
72,"Когда руководители на всех уровнях ответственности уйдут от девиза ""нам нужны не умные, а послушные"", при этом ""Ценности Росатома"" станут не декларацией и пропуском к повышению статуса, а внутренней потребностью большей части коллектива отрасли. Может это и не является целью, тем более ""большой"" для Росатома, но это уж точно наполняло бы смыслом ежедневный труд.",54,"Когда руководители уровнях ответственности уйдут девиза ""нам нужны умные, послушные"", ""Ценности Росатома"" станут декларацией пропуском повышению статуса, внутренней потребностью большей части коллектива отрасли. Может это является целью, ""большой"" Росатома, это точно наполняло смыслом ежедневный труд.",когда руководители уровнях ответственности уйдут девиза  нам нужны умные  послушные    ценности росатома  станут декларацией пропуском повышению статуса  внутренней потребностью большей части коллектива отрасли  может это является целью   большой  росатома  это точно наполняло смыслом ежедневный труд 
73,"Отсутствие в поставленных задачах бессмысленных, поставленных в ранг приоритетных, не относящихся к моей непосредственной работе задач, - разделение труда.",19,"Отсутствие поставленных задачах бессмысленных, поставленных ранг приоритетных, относящихся моей непосредственной работе задач, - разделение труда.",отсутствие поставленных задачах бессмысленных  поставленных ранг приоритетных  относящихся моей непосредственной работе задач    разделение труда 
74,Большой цели по моему соответствуют стратегические цели Росатома.,8,Большой цели моему соответствуют стратегические цели Росатома.,большой цели моему соответствуют стратегические цели росатома 
