,Какая «большая цель» Росатома может вдохновить Вас на работу и наполнить смыслом ваш ежедневный труд?
22,"Росатом делает идеологию будущего, а правильную жизнь- сейчас"
23,Я и так вдохновлен!
24,"Осознавая то какой вклад вносит Росатом в обеспечение безопасности нашей страны, уже сейчас осознаю важность нашей работы."
25,"Росатом-это правильно. То, что я делаю-это правильно. Для моей совести( это честно и справедливо), для моей семьи( это надежный источник благосостоянияи в юности, и в старости), для моего города( это комфорт и и перспектива), для моей страны ( это процветание и защита ). В Росатома делают то, что правильно. То, чем гордятся сейчас наши дети и будут гордиться внуки. В Росатоме делают идеологию будущего, а достойную жизнь-сейчас."
26,"Работа в проекте ""Умный город"""
27,"Работая в Росатоме (дивизион ЯОК) уже сейчас понимаю, как важен наш общий труд на благо сохранения мира."
28,Мирная жизнь.
29,Уровень жизни работников ГК будет существенно выше. Зарплата будет достойной. В таких условиях возможно отдавать работе все.
30,Использование атомной энергии во благо каждого человека. Эта энергия сильна и надежна. Она дает комфорт и безопасность каждому жителю России.
31,Формирование единой команды
32,Завоевание новых рынков.
33,Выход на крупные рынки с продуктами информационных технологий
34,Быть лидером в эффективности!
35,Служить нашей родине.
36,"... Пусть с успехом трудиться всегда будет охота! Пусть в сознании вашем живет мысль одна, Что с вашим трудом сильна наша страна."
37,Снижение себестоимости
38,"Производственная система России в ее буквальной реализации, как это происходит сейчас"
39,Повышение и удержание доли присутствия на международных рынках
40,если эта цель принесет пользу людям
41,Глобализация атомных технологий с целью повышения уровня жизни и снижения себестоимости энергии
42,"При наличии термина Интересы госкорпорации превыше интересов дивизиона, интересы дивизиона превыше интересов предприятия. Вряд ли цель Росатома может вдохновить работника предприятия."
43,Чтобы каждый работающий в отрасли чувствовал стабильность и уверенность в завтрашнем дне своем и отрасли.
44,Переход на унифицированный проект АЭС
45,"Создание и активное применение во всем мире новых востребованных технологий для того, чтобы делать мир более эффективным и безопасным."
46,Цифровизация
47,"Государственные приоритеты. Влияние и интерес государства, поддерживающие возможности, проекты и программы развития государственного концерна. Непосредственное участие в этих проекта и программах и, конечно же, развитие и прирост социальных аспектов, в качестве достойного вознаграждения за труд."
48,"компания №1 в мире по ""Зеленой"" энергии + Корпорация ТАЛАНТОВ"
49,обеспечение надежности ядерного щита как основы национальной безопасности
50,Космическая программа
51,"Мой ежедневный труд наполнен смыслом с соответствии со стратегической целью ГК ""Росатом"" ""Снижение себестоимости продукции и сроков протекания процессов""."
52,"Исходя из моего опыта работы в других государственных корпорациях, Росатом отличается от них в лучшую сторону по компетенциям и личностному уровню работников, корпоративной культуре, стилю работы, сложностью решаемых задач. В любом обществе должны быть лидеры процессов изменений. Росатом (его работники) могли бы стать таковыми. Мешает ""закрытость"" отрасли, связанная с ее спецификой, акцентированной на безопасность. Возможным вариантом продвижения изменений может быть модель, используемая в мире крупными корпорациями (в РФ ее активно применяют Ростех, Роснано, а в Росатоме - это единичные случаи), а именно создание значительного количества SPV-компаний различных направлений с не контролирующим участием Росатома. То есть, цель, которая могла бы вдохновить: перенос компетенций, отраслевой культуры в различные технологичные направления промышленности для трансформации общества и экономики страны."
53,Нет ответа.
54,"Из существующих целей: - Повышение доли на международных рынках; - Новые продукты для российского и международных рынков. Предложение по новой ""Большой Цели"": - повышение доверия и конкурентной привлекательности российских экспортеров в лице предприятий ГК Росатом на международных рынках за счет высочайшего качества предлагаемых товаров и услуг, надежности, безупречного сервиса и активного участия в процессах устойчивого развития."
55,Рост благосостояния страны.
56,"Способствовать экономическому росту, социальной стабильности и содействовать процветанию и прогрессу."
57,Новые продукты для Российского и международного рынков
58,"Обеспечение глобального лидерства Росатома в области цифровизации и области ""чистой энергии"" в течении следующих 5 лет."
59,"Добится решения системных технологических прорывов по всем направления научно-производственной деятельности ГК. Приумножение оборонного, научного и производственного потенциала РФ."
60,"Продвижение на международном рынке, развитие новых продуктов"
61,Развитие научной деятельности на предприятиях энергетического дивизиона (АЭС)создание глобальных проектов между предприятиями
62,Большая зарплата
63,"Внедрение инновационных технологий, освоение новых направлений в газовой, нефтяной и других отраслях."
64,Лидерство и высокая конкурентоспособность на мировом рынке
65,Участие в разработке новых продуктов для российского и мирового рынка
66,"Вдохновение и смысл есть всегда, независимо от целей, а иначе зачем ходить на работу... ."
67,"Разработка новых продуктов, цифровизация отрасли."
68,"Освоение зарубежных рынков, повышение рейтинга Страны в рамках успешной реализации проектов за рубежом."
69,Достижение грузопотока по СМП до 100 млн тн в ближайшие годы.
70,"Обеспечение безопасности миру в эксплуатации атомной отрасли. Разработка технологий в медицине, помогающих излечить серьезные заболевания."
71,космические и летательные аппараты с ядерными реакторами
72,"Когда руководители на всех уровнях ответственности уйдут от девиза ""нам нужны не умные, а послушные"", при этом ""Ценности Росатома"" станут не декларацией и пропуском к повышению статуса, а внутренней потребностью большей части коллектива отрасли. Может это и не является целью, тем более ""большой"" для Росатома, но это уж точно наполняло бы смыслом ежедневный труд."
73,"Отсутствие в поставленных задачах бессмысленных, поставленных в ранг приоритетных, не относящихся к моей непосредственной работе задач, - разделение труда."
74,Большой цели по моему соответствуют стратегические цели Росатома.
75,"Цель должна быть с размером и масштабом, достойным цивилизации ""Русского Мира"", к которому мы все принадлежим. Например - обеспечить энергией и пресной водой весь континент и в перспективе весь Мир. Или обеспечить судоходство на огромных атомных транспортных ледокольных судах по севморпути и в перспективе по всему миру. Или поставить глобальную цель по космической тематике подобного масштаба. И при постановке цели оперировать не цифрами и тоннами - обычные граждане плохо понимают масштаб в цифрах - а ИДЕЯМИ. Люди из нашего Мира без подобных ИДЕЙ скучают и гаснут. Западная идея ""набить пузо и погреться на солнышке на Кипре"" быстро приедается..."
76,Увеличение доли международного рынка.
77,"«Большой целью» Росатома должно стать поднятие уровня жизни своих сотрудников, особенно узкоспециализированных научного и технического направлений."
78,Моя большая цель это наполнить смыслом мою работу в Росатоме!
79,Участие в международных проектах
80,"Атомная энергия на службе человечества. Престиж России, ""зеленые"" технологии, современная компания мирового уровня, прорывные идеи."
81,"Получение максимальной прибыли от реализации продуктов (услуг) Госкорпорации ""Росатом"" в текущем и последующих периодах"
82,Каждому по заслугам
83,экономический и социальный лидер в государстве(РФ)
84,"Стать поистине успешным примером цифровой компании в стране и в мире. С понятными и удобными цифровыми сервисами как по внутренним процессам, так и по процессам взаимодействия с внешними пользователями (Контрагенты, Заказчики)."
85,Новые продукты для российского и международных рынков.
86,Выход на международные рынки по новым продуктам
87,развитие ядерных медицинских направлений
88,Снижение себестоимости продукции и сроков протекания процессов.
89,"Кардинальное изменение мирового топливного баланса в пользу ядерных технологий (синтез, реакторы с воспроизводством топлива и утилизацией минорных актинидов)."
90,"Обеспечение безопасности во всем мире (включая ядерную, энергетическую, экологическую, промышленную, военный паритет и пр.)"
91,"Росатом должен не на словах, а на деле становиться организаций с передовыми технологиями проектирования и производства. Пока, в среднем по корпорации, отставание в технологиях 25-30 лет. Росатом не на словах, а на деле развивает и поддерживает действительно собственное производство новых продуктов. Сейчас корпорация скорее будет заимствовать заграничное, чем потрудиться в создании своей продукции."
92,Суверенитет России.
93,повышение эффективности деятельности Корпорации
94,Безопасность
95,"Новые инновационные/технологичные продукты. Продукты, которые смогу позволить Госкрпорации и России стать мировым лидером."
96,Мы делаем жизнь людей лучше и безопаснее.
97,"Основная цель: Ведущая отрасль в России, расширения рынка ввода мощностей, продукции. Обеспечивающие и способствующие цели: 1.Работа - главный смысл жизни. 2. Улучшение труда - необходимо сократить документооборот - по станции >140тыс/год документов 3. В России все должны стремиться на работу в ГК - повышение заработной платы и улучшение нужд в городах-спутниках."
98,"Изменить в корне структуру и политику управления: - исключить девизиональное управление, сформировав в ГК профильные департаменты (аналог ЯОК) - предоставить максимум полномочий генеральным директорам предприятий, включая кадровые решения по ЗГД, оплату труда, инвестиционные решения, социальную политику, закупку ТМЦ; - предоставить предприятиям возможность самостоятельного инвестиционного решения на модернизацию оборудования взамен изношенного с учетом суммы амортизационных отчислений"
99,"""Работаем сегодня, создавая будущее"". В условиях быстрых изменений хотелось бы увидеть как можно больше реализаций тех технологических новшеств, тех проектов, которые сейчас пока еще только в виде идей или начинаний. Это очень важно чувствовать, что своим трудом ты можешь приблизить создание новых технологий, увидеть результаты своего труда."
100,Снижение протекания процессов за счет налаживания горизонтального взаимодействия.
101,Развитие новых бизнесов
102,Создание базы для развития следующих поколений.
103,Занятие лидирующей позиции.
104,"Сильная Россия, с развитой экономикой и благополучным обществом (обладающим равными возможностями и социальными гарантиями, без большого разрыва между богатыми и бедными), которая может позволить себе вести независимую политику и выстраивает честные взаимоотношения с остальными странами, на взаимовыгодных условиях."
105,"Идеи (цели), которые непосредственно связаны со стратегическими целями Росатома, в реализации которых я вижу свое непосредственное участие (весь мой ежедневный труд направлен на выполнение задач, обеспечивающих достижение ""больших целей"")."
106,Стать импортонезависимой в плане используемого программного обеспечения
107,Выход на международные рынки
108,Развиваться вместе с Росатомом.
109,Experientia docet - Опыт учит
110,Расширение производства оборудования машзала в РФ по технологии Арабель турбиной и генератором
111,Снижение себестоимости продукции и сроков протекания процессов
112,"Меня может вдохновить продвижение ""большой цели» за пределами Нашей Родины и показать этим европейцам, что и у нас тоже есть высокая заработная плата и как благотворно цели Росатома влияют на каждого работника госкорпорации."
113,работать за производство чистой энергии и обеспечить свая страна этой чистой энергией.
114,"Идея ""зеленой"" компании, которая поддерживает на всех уровнях экологичные ценности, начиная со сбора мусора на предприятиях и заканчивая экологичными цепочками производства. Выйти на междунродный рынок сильной компанией, которая не предоставляет мягкие условия реализации проектов, в тч льготные условия, а конкурентноспособные продукты."
115,"У меня всегда есть желание сделать так, чтобы наш заказчик получил самое лучшее обслуживание с моим участием. Я понимаю, что это жизненно важно, как для нашей организации, так и для меня, так как вмесете с до"
116,Безопасность производства
117,делать этот мир лучше
118,Начало строительства Смоленской АЭС -2.
119,Строительство на территории страны мусороперерабатывающих заводов и формирование сознания у населения по идее сортировки мусора.
120,"Делать жизнь лучше, используя энергию мирного атома."
121,Открытие производств связанные с благоустройством территорий в городах спутниках АЭС.
122,"""Большая цель"" должна стать большой цель, а не целевым показателем (находится между верхним и нижним уровнем)."
123,"Повышение конкурентоспособности на международных рынках, цифровизация и выпуск высокотехнологичной гражданской продукции."
124,"Работа в команде единомышленников. Смена руководителей на инициативных, молодых, целеустремленных."
125,"Обороноспособность страны, безопасность."
126,Справедливость.
127,"Устранение потерь из процессов и желание с этими потерями бороться и устранять не ради бумажки, а реально, чтоб был ""выхлоп""!"
128,Единая команда
129,Обеспечение безопасности России от внешних угроз.
130,новые продукты для российского и международных рынков
131,"Разработка новых технологий, например, компактных реакторов, позволяющих обеспечить колонизацию других планет. Человечество засиделось в своей колыбели, выход за ее пределы позволит решить проблемы с ископаемыми ресурсами, перенаселением и как следствие международными конфликтами."
132,никакая
133,"Люди работающие и взаимодействующие с ГК ""Росатом""- счастливые люди. Работа в ГК ""Росатом"" делает людей счастливее и мир добрее."
134,"Создание и успешное функицонирование федерального научного кластера, опережающего по капитализации все отечественные и европейские центры"
135,"Сделать города-спутники АЭС ""умными"""
136,Полное обеспечение энергобезопасности страны.
137,Безопасная энергия в каждый дом по доступной цене.
138,Работа в команде единомышленников
139,"Создание рабочих мест, рост производства."
140,Автоматизация процессов
141,Термоядерный синтез
142,"Обеспечение безопасного, эффективного и надежного функционирования действующих АЭС, ядерной и радиационной безопасности объектов использования атомной энергии, защищенности персонала, населения и окружающей среды."
143,-Новые продукты -увеличение доли на международных рынках
144,Гарантированная работа с перспективой
145,Достижение уровня доли атомной энергетики в общем балансе более 30%.
146,Инновационное превосходство на Русском языке
147,Освоение новых рынков
148,-
149,Предотвращение негативного влияния на Окружающую среду
150,Работа на благо Родины.
151,"Улучшение окружающей среды Безопасные для здоровья людей и окружающей среды технологии Создание новых технологий в медицине, прорывные решения Создание новых технологий в энергетике, более дружественных для людей и окружающей среды"
152,"Бытьпервыми в мире, чтобы ни одна задача в области использования атомной энергии не решалась без ГК ""Росатом"""
153,На шаг впереди
154,"Осознание того, что работа нужна не только, чтобы прокормиться.. Чтобы её результаты были востребованы через несколько лет и даже десятилетий."
155,"Вклад в развитие России, как великой державы"
156,Лидерство России
157,"Создание новых технологи, продуктов. Работа над повышением обороной способности нашей страны."
158,Гарантия обеспечения рабочими местами и повышение благосостояния специалистов в городах присутствия (ЦФО-3)
159,Повышение эффективности проектирования и капитального строительства АЭС
160,"Когда развитие Росатома (создание новых проектов, производств, зарубежные проекты) подкрепляется реальным увеличением заработной платы."
161,"Безопасность работы атомной станции, забота о здоровье людей и безопасности их работы"
162,войти в тройку лидеров международных компаний по капитализации
163,"Увеличение экспорта продукции, который приносит деньги в экономику страны"
164,Наличие аргументированной и обоснованной перспективы развития отрасли (Уверенность в завтрашнем дне). Социальная защищённость.
165,Лидерство на мировом рынке.
166,"Недекларативная, не повторяющая ""большие цели"" других корпораций и связанная с основным бизнесом ГК ""Росатом"""
167,"Считаю, что одна из ""больших целей"" Росатома - безопасность России - уже вдохновляет. Нет более высокого приоритета, чем мир, как состояние человечества, и мир, как планета. И не менее важно - чистый мир, который мы оставим нашим внукам. В этом и вижу смысл моего ежедневного труда в составе огромной команды."
168,Очень хорошая заработная плата.
169,Повысить уровень благосостояния всех россиян и увеличить объем потребительской корзины в 6 раз
170,Развитие и внедрение новых конкурентных технологий. Совместные работы с мировыми лидерами.
171,"Участие в разработке проекта, связанного с внешними Заказчиками мирового уровня."
172,Развитие
173,Мировое господство по производству атомной электроэнергии.Уверенное лидерство.Это будет способствовать повышению уровня жизни своих сотрудников!
174,Ядерная безопасность страны
175,обороноспособность страны и освоение новых рынков
176,"Уже есть такая ""большая цель"" - защита Родины! Еще Росатому надо плотнее заняться освоением космоса - пилотируемые полеты на Луну и Марс и дальше."
177,Глобальное лидерство по всем направлениям деятельности Росатома
178,Стремление к мировому технологическому превосходству (лидерству). Стремление к абсолютному качеству работы и производимых изделий. Росатом как синоним лучших практик
179,"выбор поставщиков продукции и услуг самостоятельно ДО из-за длительности закупочных процедур, роста цен и качества продукции"
180,"Процветание организации, в которой работаю, соответственно стабильная работа и стабильный заработок."
181,Получение новых продуктов
182,Повышение эффективности
183,"Вдохновить на работу и наполнить её смыслом помогают: 1) хорошая зарплата, 2) понимание того, что я работаю на благо родной страны, 3) уважение и взаимопонимание со стороны высшего руководства, 4) понимание ""нужности"" меня как специалиста."
184,"Создать третью столицу ""Промышленную столицу России"" на дальнем востоке нашей страны, создать уровень жизни соизмеримый Москве и Санкт-Петербургу. Создать там лучшие центры ядерной медицины и локомотивом этого должен быть ГК ""Росатом""."
185,"Цифровизация, увеличение доли на международных рынках"
186,"Постижение нового, неизведанного, постоянное расширение горизонтов"
187,Строительство и ввод в эксплуатацию АЭС.
188,энергетически безопасная жизнь будущих поколений
189,Выход на международные рынки авиации и судостроения
190,"Чтобы сотрудники и их семьи жили хорошо, то есть обеспечить достойную денежную компенсацию за ежедневный труд."
191,"Должна существовать только одна идея - работа на безопасность и благополучие своей страны. Крайне печально, что для большинства сотрудников контура Росатома, ""работа"" сейчас - это порочная практика выполнения показателей КПЭ и ПСР- проектов. Если мы все выполняем КПЭ и реализуем столько успешных ПСР-проектов, то почему мы не можем строить АЭС и двигаться вперед? Считаю, что нужно вернуть 13 зарплату (с коэффициентом вклада организации в общим процесс и коэффициента личного участия работника в этих процессах) и выплачивать ее только при условии, если Корпорация в целом выполнила свои задачи по итогам года. И нужно вернуть выслугу лет."
192,Работать и созидать во благо будущего человечества
193,"Сделать внутренние процессы по-настоящему эффективными, без лишней бюрократии."
194,Цель должна быть понятной и осязаемой для всех. Я вижу «Большую Цель» в двух направлениях: 1) Безопасность (как частный случай безопасность нашего государства); 2) Улучшение качества жизни – новые продукты (материальное и моральное составляющее).
195,"Снова стать ""Минсредмашем"" с большой буквы."
196,"Может несколько глобальных целей: 1. Усовершенствование инфраструктуры Крайнего Севера и Арктики (в плане развития АСММ и других мощных автономных источников энергии, ледокольного флота, инфраструктуры поселений, устойчивой к действию факторов окружающей среды); 2. Разработка технологий для освоения океана (над и подводные лаборатории и т.п.) с целью получения доступа к природным ресурсам; 3.Работа над плазменными технологиями переработки мусора; 4.Работа над возобновляемыми видами топлива для массового транспорта."
197,"Оптимизация затрат, сокращение сроков протекания процессов, цифровизация. Освоение новых продуктов."
198,"Строительство Смоленской АЭС-2, повышение благосостояния ВСЕХ работников Росатома"
199,Достойный уровень заработной платы для работников.
200,"1) Глобальное снижение цены на энергоносители всех видов, благодаря низкой цене на атомное электричество. вследствии чего уровень жизни каждого гражданина РФ и жителя планеты улучшится 2) Построение компании мечты без горизонтальных и вертикальных барьеров взаимодействия, в которой хотелось работать"
201,Бесплатное(льготное) электроснабжение в городах имеющих атомные станции
202,заработная плата
203,"Строительство САЭС-2, развитие и расширение г.Десногорска"
204,повышение заработной платы
205,Строительства САЭС-2
206,"1. Развитие Росатома в экологическом направлении: переработка отходов, создание экологически чистых мест отдыха. 2. Улучшение условий труда"
207,Лидирующие позиции компании на мировом рынке
208,достижение высокого экономического и социального уровня развития страны в целом
209,Снижение себестоимости продукции и разработка ядерной медицины для населения страны
210,Улучшение качество услуг
211,"""Большая цель"" Росатома - это влияние на улучшение жизни в России. Подтверждение желательно находить в измеримых показателях улучшения экономической ситуации в РФ в сравнении с другими странами (ВВП, среднедушевой доход, покупательская способность, процент бедных и т.п.) и влияние на эти показатели моей деятельности, а значит и деятельности Росатома."
212,Создание глобальной компании на мировом рынке
213,Завоевание лидирующих позиций в области атомной энергетики в мировом масштабе
214,"Знание и уверенность в том, что можно поменять и повлиять на систему."
215,Создание нового промышленного объекта
216,"Формирование ""ЗОЛОТОГО ФОНДА ОБРАЗОВАНИЯ"" через ежегодные отчисления средств в Отраслевой Фонд образования детей работников атомной Отрасли (ОФОДРАО) с момента рождения ребёнка у работника отрасли до исполнения ему 18 лет. Накопленные средства дети работников атомной отрасли могут потратить на получение высшего образования в профильных вузах в течение 5 лет с момента наступления 18 лет."
