,Answers,Number of Words,answers_without_stopwords,cleaned_answers,cleaned_answers_lemm,Topic,Count,Name,words
11,Повышение благосостояния инженерно-технических работников.,4,Повышение благосостояния инженерно-технических работников.,повышение благосостояния инженерно технических работников ,повышение благосостояние инженерный технический работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
12,достижение материального благополучия,3,достижение материального благополучия,достижение материального благополучия,достижение материальный благополучие,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
13,Процветание России. Повышение жизненого уровня.,5,Процветание России. Повышение жизненого уровня.,процветание россии  повышение жизненого уровня ,процветание россия повышение жизнёный уровень,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
14,Процветание России. Повышение уровня жизни.,5,Процветание России. Повышение уровня жизни.,процветание россии  повышение уровня жизни ,процветание россия повышение уровень жизнь,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
15,Развитие промышленности и рост благосостояния населения.,6,Развитие промышленности рост благосостояния населения.,развитие промышленности рост благосостояния населения ,развитие промышленность рост благосостояние население,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
16,обеспечение достойного уровня жизни каждого гражданина,6,обеспечение достойного уровня жизни каждого гражданина,обеспечение достойного уровня жизни каждого гражданина,обеспечение достойный уровень жизнь каждый гражданин,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
17,Повышение благосостояния сотрудников. Наиболее высокий уровень з/п по РФ среди линейных и средних специалистов.,14,Повышение благосостояния сотрудников. Наиболее высокий уровень з/п РФ среди линейных средних специалистов.,повышение благосостояния сотрудников  наиболее высокий уровень з п рф среди линейных средних специалистов ,повышение благосостояние сотрудник наиболее высокий уровень з п рф среди линейный средний специалист,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
18,Улучшение благосостояния рядовых сотрудников и страны.,6,Улучшение благосостояния рядовых сотрудников страны.,улучшение благосостояния рядовых сотрудников страны ,улучшение благосостояние рядовой сотрудник страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
19,Направленная на долгосрочный рост благополучия отрасли и отражающаяся на росте благосостояния её работников,13,Направленная долгосрочный рост благополучия отрасли отражающаяся росте благосостояния её работников,направленная долгосрочный рост благополучия отрасли отражающаяся росте благосостояния её работников,направить долгосрочный рост благополучие отрасль отражаться рост благосостояние её работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
20,"Цель, направленная на долгосрочный рост благополучия отрасли и отражающаяся на благосостоянии её работников",13,"Цель, направленная долгосрочный рост благополучия отрасли отражающаяся благосостоянии её работников",цель  направленная долгосрочный рост благополучия отрасли отражающаяся благосостоянии её работников,цель направить долгосрочный рост благополучие отрасль отражаться благосостояние её работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
21,Благосостояние жителей РФ,3,Благосостояние жителей РФ,благосостояние жителей рф,благосостояние житель рф,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
22,Улучшение качества жизни людей за счет влияния на экологию,9,Улучшение качества жизни людей счет влияния экологию,улучшение качества жизни людей счет влияния экологию,улучшение качество жизнь человек счёт влияние экология,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
23,Улучшение качества жизни в мире,5,Улучшение качества жизни мире,улучшение качества жизни мире,улучшение качество жизнь мир,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
24,Улучшить экологию планеты.,3,Улучшить экологию планеты.,улучшить экологию планеты ,улучшить экология планета,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
25,Улучшение благосостояния ВСЕХ работников Росатома.,5,Улучшение благосостояния ВСЕХ работников Росатома.,улучшение благосостояния всех работников росатома ,улучшение благосостояние весь работник росатом,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
26,Нести изменения качества жизни,4,Нести изменения качества жизни,нести изменения качества жизни,нести изменение качество жизнь,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
27,Рост благосостояния сотрудников ГК и россиян в целом. Устранение нехватки медицинских специалистов в ЗАТО,14,Рост благосостояния сотрудников ГК россиян целом. Устранение нехватки медицинских специалистов ЗАТО,рост благосостояния сотрудников гк россиян целом  устранение нехватки медицинских специалистов зато,рост благосостояние сотрудник гк россиянин целое устранение нехватка медицинский специалист зато,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
28,Улучшение жизни людей в стране,5,Улучшение жизни людей стране,улучшение жизни людей стране,улучшение жизнь человек страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
29,"Социальная значимость, к примеру чтобы завод помогал городу, а Росатом стране в целом",13,"Социальная значимость, примеру завод помогал городу, Росатом стране целом",социальная значимость  примеру завод помогал городу  росатом стране целом,социальный значимость пример завод помогать город росатом страна целое,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
30,"Повышение качества жизни в городе Северске, увеличение рабочих мест на градообразующем предприятии.",12,"Повышение качества жизни городе Северске, увеличение рабочих мест градообразующем предприятии.",повышение качества жизни городе северске  увеличение рабочих мест градообразующем предприятии ,повышение качество жизнь город северск увеличение рабочий место градообразующий предприятие,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
31,Улучшение качества жизни людей,4,Улучшение качества жизни людей,улучшение качества жизни людей,улучшение качество жизнь человек,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
32,Сделать счастливым каждого рядового работника предприятий атомной отрасли,8,Сделать счастливым каждого рядового работника предприятий атомной отрасли,сделать счастливым каждого рядового работника предприятий атомной отрасли,сделать счастливый каждый рядовой работник предприятие атомный отрасль,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
33,Лидерство России. Благополучие будущих поколений,5,Лидерство России. Благополучие будущих поколений,лидерство россии  благополучие будущих поколений,лидерство россия благополучие будущий поколение,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
34,Повышение качества жизни жителей РФ,5,Повышение качества жизни жителей РФ,повышение качества жизни жителей рф,повышение качество жизнь житель рф,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
35,Видимое улучшение жизни вокруг меня.,5,Видимое улучшение жизни вокруг меня.,видимое улучшение жизни вокруг меня ,видимый улучшение жизнь вокруг я,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
36,Повышение благосостояния и качества жизни граждан России.,7,Повышение благосостояния качества жизни граждан России.,повышение благосостояния качества жизни граждан россии ,повышение благосостояние качество жизнь гражданин россия,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
37,Постоянное повышение благосостояния сотрудников,4,Постоянное повышение благосостояния сотрудников,постоянное повышение благосостояния сотрудников,постоянный повышение благосостояние сотрудник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
38,"Повышение благосостояния и качества жизни граждан РФ, улучшение экологического состояния окружающей среды в РФ и во всем мире",18,"Повышение благосостояния качества жизни граждан РФ, улучшение экологического состояния окружающей среды РФ всем мире",повышение благосостояния качества жизни граждан рф  улучшение экологического состояния окружающей среды рф всем мире,повышение благосостояние качество жизнь гражданин рф улучшение экологический состояние окружающий среда рф весь мир,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
39,улучшение благосостояния своих сотрудников,4,улучшение благосостояния своих сотрудников,улучшение благосостояния своих сотрудников,улучшение благосостояние свой сотрудник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
40,Повышение благополучия и благосостояния россиян.,5,Повышение благополучия благосостояния россиян.,повышение благополучия благосостояния россиян ,повышение благополучие благосостояние россиянин,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
41,Изменение качества жизни людей в мире - в лучшую сторону,10,Изменение качества жизни людей мире - лучшую сторону,изменение качества жизни людей мире   лучшую сторону,изменение качество жизнь человек мир хороший сторона,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
42,Улучшение уровня жизни и безопасности в России.,7,Улучшение уровня жизни безопасности России.,улучшение уровня жизни безопасности россии ,улучшение уровень жизнь безопасность россия,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
43,"Улучшение жизни граждан, экология.",4,"Улучшение жизни граждан, экология.",улучшение жизни граждан  экология ,улучшение жизнь гражданин экология,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
44,1. Улучшение экологической обстановки на планете Земля; 2. Улучшение уровня благосостояния жителей России.,13,1. Улучшение экологической обстановки планете Земля; 2. Улучшение уровня благосостояния жителей России.,  улучшение экологической обстановки планете земля    улучшение уровня благосостояния жителей россии ,улучшение экологический обстановка планета земля улучшение уровень благосостояние житель россия,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
45,Повышение качества жизни работников всей отрасли и России в целом,10,Повышение качества жизни работников всей отрасли России целом,повышение качества жизни работников всей отрасли россии целом,повышение качество жизнь работник весь отрасль россия целое,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
46,Повышение уровня и качества жизни граждан нашей страны.,8,Повышение уровня качества жизни граждан нашей страны.,повышение уровня качества жизни граждан нашей страны ,повышение уровень качество жизнь гражданин наш страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
47,Связанная с улучшением экологической ситуации в мире,7,Связанная улучшением экологической ситуации мире,связанная улучшением экологической ситуации мире,связать улучшение экологический ситуация мир,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
48,"Проект, направленный на улучшение финансового состояния корпорации и сотрудников",9,"Проект, направленный улучшение финансового состояния корпорации сотрудников",проект  направленный улучшение финансового состояния корпорации сотрудников,проект направить улучшение финансовый состояние корпорация сотрудник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
49,Улучшение уровня жизни по всей стране.,6,Улучшение уровня жизни всей стране.,улучшение уровня жизни всей стране ,улучшение уровень жизнь весь страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
50,Повышение благосостояния работников отрасли.,4,Повышение благосостояния работников отрасли.,повышение благосостояния работников отрасли ,повышение благосостояние работник отрасль,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
51,Повысить благосостояние его работников,4,Повысить благосостояние работников,повысить благосостояние работников,повысить благосостояние работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
52,Бесплатное электричество для жителей РФ,5,Бесплатное электричество жителей РФ,бесплатное электричество жителей рф,бесплатный электричество житель рф,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
53,Повышение благосостояния и социального статуса своих сотрудников,7,Повышение благосостояния социального статуса своих сотрудников,повышение благосостояния социального статуса своих сотрудников,повышение благосостояние социальный статус свой сотрудник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
54,мир и процветание,3,мир процветание,мир процветание,мир процветание,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
55,Повышение уровня жизни работников,4,Повышение уровня жизни работников,повышение уровня жизни работников,повышение уровень жизнь работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
56,Увеличение благосостояния населения России,4,Увеличение благосостояния населения России,увеличение благосостояния населения россии,увеличение благосостояние население россия,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
57,Возрождение России как великого государства с высоким благосостоянием и уровнем жизни ВСЕХ граждан нашей страны.,15,Возрождение России великого государства высоким благосостоянием уровнем жизни ВСЕХ граждан нашей страны.,возрождение россии великого государства высоким благосостоянием уровнем жизни всех граждан нашей страны ,возрождение россия великий государство высокий благосостояние уровень жизнь весь гражданин наш страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
58,"Польза для человечества. Поднятие уровня жизни человека, особенно работкника Росатома.",10,"Польза человечества. Поднятие уровня жизни человека, особенно работкника Росатома.",польза человечества  поднятие уровня жизни человека  особенно работкника росатома ,польза человечество поднятие уровень жизнь человек особенно работкник росатом,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
59,Повышение благосостояния сотрудников,3,Повышение благосостояния сотрудников,повышение благосостояния сотрудников,повышение благосостояние сотрудник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
60,Повышение уровня жизни в стране,5,Повышение уровня жизни стране,повышение уровня жизни стране,повышение уровень жизнь страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
61,Уважение к персоналу отрасли на всех уровнях управления.,8,Уважение персоналу отрасли уровнях управления.,уважение персоналу отрасли уровнях управления ,уважение персонал отрасль уровень управление,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
62,Максимальное увеличение благосостояния своих сотрудников,5,Максимальное увеличение благосостояния своих сотрудников,максимальное увеличение благосостояния своих сотрудников,максимальный увеличение благосостояние свой сотрудник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
63,увеличение влияния на улучшение экологии,5,увеличение влияния улучшение экологии,увеличение влияния улучшение экологии,увеличение влияние улучшение экология,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
64,Повысить уровень жизни в атомных городах. Обеспечить стабильное будущие атомных городов,11,Повысить уровень жизни атомных городах. Обеспечить стабильное будущие атомных городов,повысить уровень жизни атомных городах  обеспечить стабильное будущие атомных городов,повысить уровень жизнь атомный город обеспечить стабильный будущий атомный город,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
65,"Развитие атомной отрасли в России, для благополучия и процветания населения страны",11,"Развитие атомной отрасли России, благополучия процветания населения страны",развитие атомной отрасли россии  благополучия процветания населения страны,развитие атомный отрасль россия благополучие процветание население страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
66,Социальное развитие городов спутников. Улучшение жизни населения городов спутников.,9,Социальное развитие городов спутников. Улучшение жизни населения городов спутников.,социальное развитие городов спутников  улучшение жизни населения городов спутников ,социальный развитие город спутник улучшение жизнь население город спутник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
67,Повышение уровня жизни,3,Повышение уровня жизни,повышение уровня жизни,повышение уровень жизнь,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
68,Улучшения качества жизни работников,4,Улучшения качества жизни работников,улучшения качества жизни работников,улучшение качество жизнь работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
69,Благополучие сотрудников предприятия и жителелей города,6,Благополучие сотрудников предприятия жителелей города,благополучие сотрудников предприятия жителелей города,благополучие сотрудник предприятие жителелеять город,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
70,Когда росатом сможет быть на уровне воплощения идей уровня Илона Маска,11,Когда росатом сможет уровне воплощения идей уровня Илона Маска,когда росатом сможет уровне воплощения идей уровня илона маска,когда росатом смочь уровень воплощение идея уровень илона маска,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
71,Повышение престижа РФ за рубежом,5,Повышение престижа РФ рубежом,повышение престижа рф рубежом,повышение престиж рф рубеж,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
72,направленная на улучшение благосостояния инженера,5,направленная улучшение благосостояния инженера,направленная улучшение благосостояния инженера,направить улучшение благосостояние инженер,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
73,"Перспективы, стабильность, материальное благополучие",4,"Перспективы, стабильность, материальное благополучие",перспективы  стабильность  материальное благополучие,перспектива стабильность материальный благополучие,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
74,"Снижение уровня бюрократии, улучшение условия труда, повышение уровня благосостояния работников",10,"Снижение уровня бюрократии, улучшение условия труда, повышение уровня благосостояния работников",снижение уровня бюрократии  улучшение условия труда  повышение уровня благосостояния работников,снижение уровень бюрократия улучшение условие труд повышение уровень благосостояние работник,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
75,сохранение и улучшение экологии планеты.,5,сохранение улучшение экологии планеты.,сохранение улучшение экологии планеты ,сохранение улучшение экология планета,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
